year,month,categorie,value,shares
1988,10,4,0.0,0.0
1988,10,5,0.0,0.0
1988,10,6,0.0,0.0
1988,10,7,0.0,0.0
1988,10,8,0.0,0.0
1988,11,0,0.0,0.0
1988,11,1,0.0,0.0
1988,11,2,0.0,0.0
1988,11,3,178987.0,0.028743216750515166
1988,11,4,1.586131e6,0.25471406933303187
1988,11,5,2.045827e6,0.3285358651469447
1988,11,6,1.267917e6,0.20361262635086871
1988,11,7,1.092085e6,0.17537606566391054
1988,11,8,56157.0,0.009018156754729004
1988,12,0,0.0,0.0
1988,12,1,0.0,0.0
1988,12,2,16016.0,0.0025719820963324203
1988,12,3,132861.0,0.021335921160141214
1988,12,4,761423.0,0.12227561961386867
1988,12,5,3.166902e6,0.5085673854170414
1988,12,6,1.192702e6,0.19153397791332857
1988,12,7,864147.0,0.1387718913960647
1988,12,8,93053.0,0.014943222403223072
1989,1,0,0.0,0.0
1989,1,1,0.0,0.0
1989,1,2,0.0,0.0
1989,1,3,318336.0,0.05112103475387596
1989,1,4,1.230249e6,0.1975635865403886
1989,1,5,2.475841e6,0.39759107925610365
1989,1,6,1.831617e6,0.2941362469616695
1989,1,7,363047.0,0.05830109791003972
1989,1,8,8014.0,0.0012869545779225784
1989,2,0,0.0,0.0
1989,2,1,0.0,0.0
1989,2,2,8372.0,0.0013444451867192196
1989,2,3,640536.0,0.1028625826708531
1989,2,4,3.246198e6,0.5213013946772047
1989,2,5,2.267467e6,0.36412865434718933
1989,2,6,64531.0,0.01036292311803368
1989,2,7,0.0,0.0
1989,2,8,0.0,0.0
1989,3,0,0.0,0.0
1989,3,1,0.0,0.0
1989,3,2,0.0,0.0
1989,3,3,22693.0,0.0036442301268775983
1989,3,4,1.000067e6,0.160599052143661
1989,3,5,4.812494e6,0.7728301952239757
1989,3,6,391850.0,0.0629265225054857
1989,3,7,0.0,0.0
1989,3,8,0.0,0.0
1989,4,0,0.0,0.0
1989,4,1,0.0,0.0
1989,4,2,0.0,0.0
1989,4,3,0.0,0.0
1989,4,4,202616.0,0.03253775751938622
1989,4,5,1.454368e6,0.23355447411830604
1989,4,6,1.560713e6,0.25063223610847035
1989,4,7,2.573121e6,0.41321310837268815
1989,4,8,436286.0,0.07006242388114925
1989,5,0,0.0,0.0
1989,5,1,0.0,0.0
1989,5,2,0.0,0.0
1989,5,3,178044.0,0.028591781990472617
1989,5,4,604474.0,0.09707144765849422
1989,5,5,3.14838e6,0.5055929690591324
1989,5,6,2.296206e6,0.3687438012919007
1989,5,7,0.0,0.0
1989,5,8,0.0,0.0
1989,6,0,309098.0,0.04963752010565425
1989,6,1,539683.0,0.08666677158435125
1989,6,2,1.162997e6,0.1867637026778419
1989,6,3,1.024362e6,0.16450054471548894
1989,6,4,1.546088e6,0.24828363232732262
1989,6,5,1.590135e6,0.25535706485711496
1989,6,6,54741.0,0.008790763732226087
1989,6,7,0.0,0.0
1989,6,8,0.0,0.0
1989,7,0,209426.0,0.03363136379286423
1989,7,1,763225.0,0.1225649997173646
1989,7,2,1.719647e6,0.27615517582490995
1989,7,3,1.771402e6,0.2844664229150501
1989,7,4,814751.0,0.13083947208847002
1989,7,5,942258.0,0.15131560352934526
1989,7,6,6395.0,0.0010269621319958684
1989,7,7,0.0,0.0
1989,7,8,0.0,0.0
1989,8,0,319879.0,0.051368822489555335
